Id,Name
763,Michael Crawford In Concert
764,Michael Flatley: Lord Of The Dance (Universal)
765,Mickey Blue Eyes
766,Midnight Cowboy
767,Midnight In The Garden Of Good And Evil
768,Miss Julie
769,Missing In Action
770,Mission Impossible
771,Mister Roberts: Premiere Collection
772,Mod Squad: The Movie
773,Molly
774,Money Talks
775,Monkey Shines
776,Monterey Jazz Festival: 40 Legendary Years
777,Moonraker
778,Moonraker: Special Edition
779,Moonstruck: Special Edition
780,More Treasures Of The Twilight Zone
781,Mortal Kombat: Annilihation: Platinum Edition
782,Mortal Kombat: The Movie
783,Mosquito Coast
784,Most Wanted
785,Mother Night
786,Mr. Death: The Rise And Fall Of Fred A. Leuchter Jr.
787,Mr. Mom
788,Mr. Mumble
789,Mr. Nice Guy
790,Mr. Wonderful
791,Mummy: Classic Monster Collection (1932)
792,Mummy: Collector's Edition (LBX)
793,Mummy: Collector's Edition (1999 / P&S)
794,Murder at 1600
795,Murder In The First
796,Music Man: Special Edition
797,My Blue Heaven
798,My Fair Lady: Premiere Collection
799,My Fellow Americans
800,My Giant
801,My Sergei
802,Mystery Men
803,Mystery Train
804,Natalie Merchant: Live In Concert
805,National Geographic: 30 Years Of National Geographic Specials
806,National Geographic: Nature's Fury
807,National Geographic: Secrets Of The Titanic
808,National Geographic: Surviving Everest
809,National Geographic: The Battle For Midway
810,National Geographic: The Photographers
811,National Geographic: Tigers In The Snow
812,National Lampoon's Animal House
813,National Lampoon's Animal House: Collector's Edition
814,National Lampoon's Christmas Vacation
815,National Lampoon's Loaded Weapon
816,National Lampoon's Vacation
817,National Velvet
818,Negotiator: Premiere Collection
819,Neil Young: Silver And Gold
820,Network (MGM/UA)
821,Network (Warner)
822,New Jack City
823,Next Friday: Platinum Series
824,Next Of Kin
825,Nick Of Time
826,Night At The Roxbury
827,Night Falls On Manhattan: Special Edition
828,Night Of The Hunter
829,Night Shift
830,"Nightmare on Elm Street, A"
831,Nightmare On Elm Street Collection: Platinum Edition
832,No Way Out
833,Nothing But Trouble
834,Notting Hill: Collector's Edition
835,Now And Then
836,Nutty Professor
837,Nutty Professor (DTS)
838,October Sky: Collector's Edition
839,Odd Couple II
840,Omega Man
841,On Deadly Ground
842,On Her Majesty's Secret Service: Special Edition
843,On The Beach
844,On The Town
845,Once Upon A Time In America
846,One Flew Over The Cuckoo's Nest
847,One Man's Hero
848,One Night Stand: Platinum Edition
849,One True Thing
850,Original Gangstas
851,Othello (Warner)
852,Out For Justice
853,Out Of Africa: Collector's Edition
854,Out Of Sight (DTS)
855,Out Of Sight: Collector's Edition
856,Out Of Towners
857,Outbreak
858,Outland
859,Outlaw Josey Wales
860,Outsiders
861,Overboard
862,Pacific Heights
863,Package
864,Pajama Game
865,Pale Rider
866,Palmetto
867,Pantera: 3 Vulgar Videos From Hell
868,Paper
869,Papillon
870,Parallax View
871,Parenthood
872,Passenger 57
873,Patch Adams
874,Patch Adams (DTS)
875,Patch Adams: Collector's Edition
876,Paths Of Glory
877,Patriot Games
878,Paul Simon: GraceLand: The African Concert
879,Payback
880,Pebble & The Penguin
881,Pecker: Platinum Edition
882,Pee-Wee's Big Adventure: Special Edition
883,Pelican Brief
884,Perfect Murder: Special Edition
885,Phantasm: Special Edition
886,Phantom
887,Philadelphia Story (MGM/UA)
888,Philadelphia Story (Warner)
889,Pillow Talk
890,Pink Panther
891,Pink Panther Cartoon Collection: Jet Pink
892,Pink Panther Strikes Again
893,Player: Platinum Edition
894,Players Club
895,Pleasantville: Platinum Edition
896,Point Of No Return
897,Poison Ivy
898,Poison Ivy 2: Lily
899,Poison Ivy III: The New Seduction
900,Pokemon: The First Movie: Special Edition
901,Police Academy
902,Poltergeist (MGM/UA)
903,Poltergeist (Warner)
904,Pork Chop Hill
905,Postman
906,Postman Always Rings Twice
907,Power
908,Power Of One
909,Practical Magic: Special Edition
910,Presidio
911,Presumed Innocent
912,Primal Fear
913,Primary Colors
914,Primary Colors (DTS)
915,Prince: The Hits Collection
916,Private Benjamin
917,Private Parts
918,Protocol
919,Psycho: Collector's Edition
920,Psycho: Collector's Edition (1998)
921,Pump Up The Volume
922,Pure Country
923,Purple Rain
924,Quest
925,Quest For Camelot: Special Edition
926,R.E.M. Road Movie
927,Rage: Carrie 2: Special Edition
928,Raging Bull
929,Rain Man
930,Rainmaker
931,Raising Cain
932,Real Blonde
933,Real McCoy
934,Reality Bites
935,Reap The Wild Wind
936,Rebel Without A Cause: Special Edition
937,Red Corner: Special Edition
938,Red Dawn
939,Red Hot Chili Peppers: Funky Monks
940,Red River
941,"Red Violin, The"
942,Relic
943,Retroactive
944,Revenge Of The Pink Panther
945,Richard III
946,Right Stuff
947,Risky Business
948,River
949,River Wild
950,River Wild (DTS)
951,Road Warrior
952,Rob Roy (1995)
953,Robert De Niro Collection
954,Robin Hood: Prince of Thieves
955,Rocky
956,Rocky II
957,Rocky IV
958,Rod Stewart: Storyteller 1984-1991
959,Rollerball: Special Edition
960,Rollercoaster
961,Rolling Stones: Bridges To Babylon: Live In Concert
962,Romeo And Juliet
963,Ron Howard Signature Collection
964,Ronin
965,Rooster Cogburn
966,Rosewood
967,Roustabout
968,Rugrats Movie
969,Rumble Fish
970,Rumble In The Bronx
971,"Run Silent, Run Deep"
972,Runaway Bride
973,Runaway Train
974,Running On Empty
975,Rush Hour: Platinum Edition
976,Saint: Special Edition
977,Salem's Lot
978,Scarecrow
979,Scarface: Collector's Edition
980,Scent of a Woman
981,School Ties
982,Scooby Doo's Original Mysteries
983,Scorpio
984,Scrooged
985,Sea of Love
986,Sea Wolves
987,Searchers
988,Secret Garden
989,Secret Of My Success
990,Secret Of N.I.M.H.
991,Selena
992,Set It Off
993,Seven
994,Seven Brides For Seven Brothers (MGM/UA)
995,Seven Brides For Seven Brothers (Warner)
996,Seven Days In May
997,Sgt. Bilko
998,Shadow
999,Shadow (DTS)
1000,Shaft In Africa
1001,Shaft's Big Score
1002,Shaft: Special Edition
1003,Shallow Grave (MGM/UA)
1004,Sharky's Machine
1005,Shattered Image
1006,Shawshank Redemption
1007,Shine
1008,Shining
1009,Shocker
1010,Short #1
1011,Short #2 Dreams (Discontinued)
1012,Short #2: Dreams (Remastered)
1013,Short #3: Authority
1014,Short #4: Seduction
1015,Short #6: Insantiy
1016,Short #7: Utopia
1017,Short #8: Vision
1018,Short Cinema Journal 1:1 Invention
1019,Short Cinema Journal 1:3 Authority
1020,Short Cuts: Special Edition
1021,Shot In The Dark: Pink Panther
1022,Show Boat (Warner)
1023,Showboat (MGM/UA)
1024,Showdown In Little Tokyo
1025,Showgirls
1026,Silent Fall
1027,Simple Plan
1028,Simple Wish
1029,Singin' In The Rain (MGM/UA)
1030,Singin' In The Rain (Warner)
1031,Singles
1032,Slap Shot
1033,Sleepers
1034,Sleepy Hollow
1035,Sliding Doors
1036,Smiths: The Complete Picture
1037,Smokey And The Bandit
1038,Snake Eyes
1039,Sneakers
1040,Snow Falling On Cedars: Collector's Edition
